AU_ID,Area_SQ_MI,WATERBODY,TOTAREA,PERCAG,PERCDEV,PERCNAT,PERCWET,TOTAREA_PR,PERCAG_PR,PERCDEV_PR,PERCNAT_PR,PERCWET_PR,TOTAREA_ST,PERCAG_ST,PERCDEV_ST,PERCNAT_ST,PERCWET_ST,TOTAREA_SP,PERCAG_SP,PERCDEV_SP,PERCNAT_SP,PERCWET_SP,PercImp,AU_TempClassQual,pctZone2,nGWP,nNPDES,nSEMS,nTRIs,nDams,nPWS_SW
MA11-01,41.1372,North Branch Hoosic River,11.19,4.7,9.7,80.5,5.1,9.7,5.4,11.1,78.2,5.2,3.49,5,11.4,76.4,7.3,3.19,5.5,12.5,75.2,6.9,3,CWF,0.68,0,0,1,0,5,0
MA11-02,43.669,North Branch Hoosic River,13.72,4.2,15.2,76.2,4.4,10.75,4.6,18.5,72.1,4.7,4.03,4.9,15.8,73,6.3,2.99,5.3,19.2,68.8,6.7,5.5,CWF,0.92,0,0,3,0,7,0
MA11-03,63.9175,Hoosic River,63.89,9.5,11.9,74.7,3.9,14.28,11.8,21.7,64.6,1.9,14.4,7,13.4,71.3,8.2,3.78,9.4,24.9,63,2.6,3.8,CWF,2.94,2,1,1,1,17,0
MA11-04,74.5894,Hoosic River,74.56,9.2,13.5,73.5,3.8,7.2,3.2,26.3,66.7,3.8,17.19,8,14.1,70,7.9,2,6.6,22.6,62.3,8.4,4.7,WWF,2.55,2,1,4,1,21,0
MA11-05,204.958,Hoosic River,163.93,9,11.8,76.5,2.8,13.37,6.4,21.7,69.6,2.3,37.96,9.2,13,72,5.8,2.74,5.3,23.9,66.3,4.6,4,WWF,2.74,2,2,8,1,43,2
MA11-06,43.0197,Green River,42.41,11.6,6.8,80.1,1.5,5.02,24.6,29.9,43.5,2,10.14,13.7,8.6,73.8,3.9,1.32,22.7,26.6,45,5.7,2.1,CWF,2.08,0,0,0,0,4,0
MA11-09,14.0648,Hemlock Brook,13.11,8.7,8.7,81.2,1.4,8.75,8.1,10.1,80.5,1.3,3.32,7.8,11.1,79.6,1.5,2.18,5,13.9,80.2,0.9,2.4,CWF,0,0,0,0,0,7,0
MA11-10,1.26425,Thunder Brook,1.26,8.8,4.7,85.5,0.9,1.26,8.8,4.7,85.5,0.9,0.31,8,5.8,85.7,0.5,0.31,8,5.8,85.7,0.5,1.5,NULL,0,0,0,0,0,1,0
MA11-13,10.4908,Dry Brook,10.49,17.3,11.1,65.9,5.7,5.21,30.2,19.4,47.7,2.6,1.86,14.6,12.7,63.1,9.6,1.13,23.1,17.7,54.4,4.9,2.6,NULL,0,0,0,1,0,0,0
MA11-15,7.14588,South Brook,7.14,7.1,3.4,85.6,3.9,5.79,8.7,3.9,84.3,3,1.62,6.4,5.1,84.5,4,1.46,7,5.5,84.2,3.2,0.7,CWF,0.05,0,0,0,0,0,0
