WBID_2012,WATERSHED,WATERBODY,AU_ID,LOCATION1,LOCATION2,WATERCODE,WATERTYPE,AU_SIZE,SIZE_UNIT,CLASS,QUALIFIER,CATEGORY,TMDL_COUNT,ORIG_FID,Name,Descript,BatchDone,SnapOn,SrcType,Area_SQ_MI,WATERBODY_1,AU_ID_1,TOTAREA,AGAREA,DEVAREA,NATAREA,WETAREA,PERCAG,PERCDEV,PERCNAT,PERCWET,pNatWet_Tt,TOTAREA_PR,AGAREA_PR,DEVAREA_PR,NATAREA_PR,WETAREA_PR,PERCAG_PR,PERCDEV_PR,PERCNAT_PR,PERCWET_PR,TOTAREA_ST,AGAREA_ST,DEVAREA_ST,NATAREA_ST,WETAREA_ST,PERCAG_ST,PERCDEV_ST,PERCNAT_ST,PERCWET_ST,SUM_PERCAG,SUM_PERCDE,SUM_PERCNA,SUM_PERCWE,TOTAREA_SP,AGAREA_SP,DEVAREA_SP,NATAREA_SP,WETAREA_SP,PERCAG_SP,PERCDEV_SP,PERCNAT_SP,PERCWET_SP,PercImp,OBJECTID *,Shape *
3210075,Westfield,West Branch Westfield River,MA32-01, , , , ,17.2,MILES, , , ,0,59,MA32_01,Outlet,1,1,0,95.66,West Branch Westfield River,MA32-01,95.57,1.126778,3.673279,86.75608,4.009034,1.2,3.8,90.8,4.2,95,6.49,0.041944,0.271485,6.009349,0.166438,0.6,4.2,92.6,2.6,19.26,0.150782,1.231486,16.478621,1.403537,0.8,6.4,85.5,7.3,<Null>,<Null>,<Null>,<Null>,1.83,0.018024,0.171497,1.579146,0.058375,1,9.4,86.4,3.2,1.68,83,Point
3210725,Westfield,Middle Branch Westfield River,MA32-03, , , , ,1.1,MILES, , , ,0,0,MA32_03,Outlet,1,1,0,52.86,Middle Branch Westfield River,MA32-03,52.85,1.200479,1.235985,48.49282,1.925094,2.3,2.3,91.7,3.6,95.3,4.42,0.109743,0.118409,4.053769,0.134449,2.5,2.7,91.8,3,10.87,0.292575,0.32294,9.615773,0.635988,2.7,3,88.5,5.9,<Null>,<Null>,<Null>,<Null>,0.89,0.016393,0.055673,0.742081,0.074775,1.8,6.3,83.5,8.4,1.01,24,Point
3208250,Westfield,Westfield River,MA32-04, , , , ,33.1,MILES, , , ,0,55,MA32_04,Outlet,1,1,0,169,Westfield River,MA32-04,168.96,8.663746,6.738206,145.159927,8.39323,5.1,4,85.9,5,90.9,6.33,0.168838,0.436432,5.595065,0.12791,2.7,6.9,88.4,2,36.97,1.041588,1.656,30.084576,4.183372,2.8,4.5,81.4,11.3,<Null>,<Null>,<Null>,<Null>,1.02,0.009875,0.101461,0.85738,0.055918,1,9.9,83.7,5.5,1.67,79,Point
3208250,Westfield,Westfield River,MA32-05, , , , ,17.7,MILES, , , ,0,56,MA32_05,Outlet,1,1,0,452.62,Westfield River,MA32-05,452.35,15.8378,22.658126,393.498603,20.357169,3.5,5,87,4.5,91.5,7,0.653142,3.349457,2.598275,0.398755,9.3,47.9,37.1,5.7,103.67,2.651987,5.695983,85.704482,9.618539,2.6,5.5,82.7,9.3,<Null>,<Null>,<Null>,<Null>,1.83,0.189677,0.380304,0.98141,0.277959,10.4,20.8,53.6,15.2,2.16,80,Point
3208250,Westfield,Westfield River,MA32-06, , , , ,1.9,MILES, , , ,0,1,MA32_06,Outlet,1,1,0,498.85,Westfield River,MA32-06,496.34,19.706846,34.730376,418.933958,22.964821,4,7,84.4,4.6,89,14.36,1.324488,4.772903,7.468739,0.789603,9.2,33.2,52,5.5,114.56,3.531077,7.498591,92.290922,11.243392,3.1,6.5,80.6,9.8,<Null>,<Null>,<Null>,<Null>,4.11,0.32905,0.729497,2.447347,0.603031,8,17.8,59.6,14.7,2.92,25,Point
3208250,Westfield,Westfield River,MA32-07, , , , ,8.5,MILES, , , ,0,2,MA32_07,Outlet,-1,1,0,518.72,Westfield River,MA32-07,516.08,19.991341,41.165749,430.388529,24.533538,3.9,8,83.4,4.8,88.2,4.22,0.135284,2.536913,1.177125,0.369891,3.2,60.1,27.9,8.8,119.88,3.555502,8.408726,95.797787,12.113307,3,7,79.9,10.1,<Null>,<Null>,<Null>,<Null>,0.86,0.008667,0.253268,0.41561,0.185743,1,29.3,48.1,21.5,3.43,26,Point
3208725,Westfield,Little River,MA32-08, , , , ,4.9,MILES, , , ,0,57,MA32_08,Outlet,1,1,0,85.44,Little River,MA32-08,85.32,2.846113,5.875578,72.358792,4.234762,3.3,6.9,84.8,5,89.8,5.97,0.594019,2.469787,2.574128,0.336842,9.9,41.3,43.1,5.6,23.1,0.727621,1.18789,18.795198,2.39417,3.1,5.1,81.3,10.4,<Null>,<Null>,<Null>,<Null>,1.6,0.207996,0.318438,0.841125,0.229576,13,19.9,52.7,14.4,2.93,81,Point
3208575,Westfield,Powdermill Brook,MA32-09, , , , ,8.4,MILES, , , ,0,3,MA32_09,Outlet,1,1,0,19.61,Powdermill Brook,MA32-09,19.59,0.704946,6.351973,11.600954,0.936608,3.6,32.4,59.2,4.8,64,6.27,0.099291,2.577637,3.31086,0.282196,1.6,41.1,52.8,4.5,3.96,0.148122,0.618309,2.686361,0.510433,3.7,15.6,67.8,12.9,<Null>,<Null>,<Null>,<Null>,1.28,0.057157,0.198429,0.802815,0.217116,4.5,15.6,62.9,17,13.92,27,Point
3210900,Westfield,Glendale Brook,MA32-10, , , , ,6,MILES, , , ,0,4,MA32_10,Outlet,1,1,0,6.64,Glendale Brook,MA32-10,6.64,0.2505,0.168189,5.940296,0.28394,3.8,2.5,89.4,4.3,93.7,5.66,0.2505,0.165425,4.995677,0.246834,4.4,2.9,88.3,4.4,1.73,0.043963,0.042869,1.54655,0.100403,2.5,2.5,89.2,5.8,<Null>,<Null>,<Null>,<Null>,1.47,0.043963,0.041819,1.303186,0.085339,3,2.8,88.4,5.8,1.24,28,Point
3211925,Westfield,Meadow Brook,MA32-11, , , , ,4.6,MILES, , , ,0,5,MA32_11,Outlet,1,1,0,4.16,Meadow Brook,MA32-11,4.16,0.559145,0.23564,3.198503,0.165417,13.4,5.7,76.9,4,80.9,2.89,0.338506,0.186975,2.259644,0.107799,11.7,6.5,78.1,3.7,1.06,0.082703,0.041769,0.851859,0.082605,7.8,3.9,80.4,7.8,<Null>,<Null>,<Null>,<Null>,0.79,0.075254,0.035789,0.625587,0.052142,9.5,4.5,79.3,6.6,2.28,29,Point
