DWM_CODE,DWM_NAME,UniqueID,AU_ID,Sta2AUPos,caseWtrBdy,caseAUname,establish
51,BLACKSTONE,W0000,MA51-no seg,neither, , ,1994
33,DEERFIELD,W0001,MA33-04,Direct,deerfield river,deerfield river,1995
33,DEERFIELD,W0002,MA33-03,Direct,deerfield river,deerfield river,1995
33,DEERFIELD,W0003,MA33-01,Direct,deerfield river,deerfield river,1995
33,DEERFIELD,W0004,MA33-01,Direct,deerfield river,deerfield river,1995
33,DEERFIELD,W0005,MA33-30,Direct,green river,green river,1995
33,DEERFIELD,W0006,MA33-28,Direct,green river,green river,1995
33,DEERFIELD,W0007,MA33-28,Direct,green river,green river,1995
33,DEERFIELD,W0008,MA33-102,Direct,south river,south river,1995
33,DEERFIELD,W0009,MA33-102,Direct,south river,south river,1995
33,DEERFIELD,W0010,MA33-102,Direct,south river,south river,1995
33,DEERFIELD,W0011,MA33-101,Direct,south river,south river,1995
33,DEERFIELD,W0012,MA33-101,Direct,south river,south river,1995
33,DEERFIELD,W0013,MA33-07,Direct,south river,south river,1995
33,DEERFIELD,W0014,MA33-07,Direct,south river,south river,1995
33,DEERFIELD,W0015,MA33-07,Direct,south river,south river,1995
33,DEERFIELD,W0016,MA33-07,Direct,south river,south river,1995
33,DEERFIELD,W0017,MA33-17,Direct,bear river,bear river,1995
33,DEERFIELD,W0018,MA33-17,Direct,bear river,bear river,1995
33,DEERFIELD,W0019,MA33-17,Direct,bear river,bear river,1995
33,DEERFIELD,W0020,MA33-06,Direct,north river,north river,1995
33,DEERFIELD,W0021,MA33-06,Direct,north river,north river,1995
33,DEERFIELD,W0022,MA33-06,Direct,north river,north river,1995
33,DEERFIELD,W0023,MA33-06,Direct,north river,north river,1995
33,DEERFIELD,W0024,MA33-19,Direct,east branch north river,east branch north river,1995
33,DEERFIELD,W0025,MA33-27,Direct,west branch north river,west branch north river,1995
33,DEERFIELD,W0026,MA33-15,Direct,clesson brook,clesson brook,1995
33,DEERFIELD,W0027,MA33-15,Direct,clesson brook,clesson brook,1995
33,DEERFIELD,W0028,MA33-15,Direct,clesson brook,clesson brook,1995
33,DEERFIELD,W0029,MA33-16,Direct,clark brook,clark brook,1995
33,DEERFIELD,W0030,MA33-26,Direct,smith brook,smith brook,1995
33,DEERFIELD,W0031,MA33-26,Indirect,upper branch, ,1995
33,DEERFIELD,W0032,MA33-14,Direct,mill brook,mill brook,1995
33,DEERFIELD,W0033,MA33-14,Direct,mill brook,mill brook,1995
33,DEERFIELD,W0034,MA33-59,Direct,heath brook,heath brook,1995
33,DEERFIELD,W0035,MA33-13,Direct,bozrah brook,bozrah brook,1995
33,DEERFIELD,W0036,MA33-11,Direct,chickley river,chickley river,1995
33,DEERFIELD,W0037,MA33-11,Direct,chickley river,chickley river,1995
33,DEERFIELD,W0038,MA33-11,Direct,chickley river,chickley river,1995
33,DEERFIELD,W0039,MA33-11,Direct,chickley river,chickley river,1995
33,DEERFIELD,W0040,MA33-11,Direct,chickley river,chickley river,1995
33,DEERFIELD,W0041,MA33-69,Direct,mill brook,mill brook,1995
33,DEERFIELD,W0042,MA33-64,Direct,king brook,king brook,1995
33,DEERFIELD,W0043,MA33-05,Direct,cold river,cold river,1995
33,DEERFIELD,W0044,MA33-12,Direct,pelham brook,pelham brook,1995
35,MILLERS,W0045,MA35-08,Direct,otter river,otter river,1995
35,MILLERS,W0046,MA35-08,Direct,otter river,otter river,1995
35,MILLERS,W0047,MA35-08,Direct,otter river,otter river,1995
35,MILLERS,W0048,MA35-07,Direct,otter river,otter river,1995
35,MILLERS,W0049,MA35-08,Direct,otter river,otter river,1995
35,MILLERS,W0050,MA35-07,Direct,otter river,otter river,1995
35,MILLERS,W0051,MA35-06,Direct,otter river,otter river,1995
41,QUINEBAUG,W0052,MA41-09,Indirect,unnamed tributary, ,1994
41,QUINEBAUG,W0053,MA41-09,Indirect,unnamed tributary, ,1994
41,QUINEBAUG,W0054,MA41-23,Direct,unnamed tributary,unnamed tributary,1994
41,QUINEBAUG,W0055,MA41031,Indirect,unnamed tributary, ,1994
41,QUINEBAUG,W0056,MA41031,Indirect,unnamed tributary, ,1994
41,QUINEBAUG,W0057,MA41-04,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0058,MA41-03,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0059,MA41-09,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0060,MA41-02,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0061,MA41-09,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0062,MA41-02,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0063,MA41-01,Direct,quinebaug river,quinebaug river,1994
41,QUINEBAUG,W0064,MA41-06,Direct,cady brook,cady brook,1994
41,QUINEBAUG,W0065,MA41-05,Direct,cady brook,cady brook,1994
41,QUINEBAUG,W0066,MA41-06,Direct,cady brook,cady brook,1994
42,FRENCH,W0067,MA42044,Indirect,unnamed tributary, ,1994
42,FRENCH,W0068,MA42044,Indirect,unnamed tributary, ,1994
42,FRENCH,W0069,MA42-01,Direct,unnamed tributary,unnamed tributary,1994
42,FRENCH,W0070,MA42-03,Direct,french river,french river,1994
42,FRENCH,W0071,MA42-03,Direct,french river,french river,1994
42,FRENCH,W0072,MA42-05,Direct,french river,french river,1994
42,FRENCH,W0073,MA42-04,Direct,french river,french river,1994
42,FRENCH,W0074,MA42-04,Direct,french river,french river,1994
42,FRENCH,W0075,MA42-06,Direct,french river,french river,1994
42,FRENCH,W0076,MA42-03,Direct,french river,french river,1994
42,FRENCH,W0077,MA42-03,Direct,french river,french river,1994
42,FRENCH,W0078,MA42-02,Direct,town meadow brook,town meadow brook,1994
83,SHAWSHEEN,W0079,MA83-08,Indirect,shawsheen river, ,1995
83,SHAWSHEEN,W0080,MA83-08,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0081,MA83-19,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0082,MA83-19,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0083,MA83-19,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0084,MA83-19,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0085,MA83-19,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0086,MA83-19,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0087,MA83011,Direct,shawsheen river/lowell junction pond,ballardvale impoundment,1995
83,SHAWSHEEN,W0088,MA83-18,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0089,MA83-18,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0090,MA83-17,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0091,MA83-17,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0092,MA83-01,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0093,MA83-08,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0094,MA83-08,Direct,shawsheen river,shawsheen river,1995
83,SHAWSHEEN,W0095,MA83-04,Direct,rogers brook,rogers brook,1995
83,SHAWSHEEN,W0096,MA83-04,Direct,rogers brook,rogers brook,1995
83,SHAWSHEEN,W0097,MA83-07,Direct,strong water brook,strong water brook,1995
83,SHAWSHEEN,W0098,MA83-06,Direct,vine brook,vine brook,1995
83,SHAWSHEEN,W0099,MA83-24,Direct,elm brook,elm brook,1995
92,IPSWICH,W0100,MA92-09,Direct,unnamed tributary,unnamed tributary,1995
92,IPSWICH,W0101,MA92-14,Indirect,unnamed tributary, ,1995
92,IPSWICH,W0102,MA92013,Indirect,unnamed tributary, ,1995
92,IPSWICH,W0103,MA92-06,Indirect,ipswich river, ,1995
92,IPSWICH,W0104,MA92-23,Indirect,unnamed tributary, ,1995
92,IPSWICH,W0105,MA92-12,Direct,unnamed tributary,unnamed tributary,1995
92,IPSWICH,W0106,MA92-11,Indirect,norris brook, ,1995
92,IPSWICH,W0107,MA92-15,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0108,MA92-15,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0109,MA92-02,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0110,MA92-06,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0111,MA92-06,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0112,MA92-06,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0113,MA92-06,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0114,MA92-06,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0115,MA92-06,Direct,ipswich river,ipswich river,1995
92,IPSWICH,W0116,MA92-22,Direct,labor in vain creek,labor in vain creek,1995
92,IPSWICH,W0117,MA92-22,Direct,labor in vain creek,labor in vain creek,1995
92,IPSWICH,W0118,MA92-22,Indirect,unnamed tributary, ,1995
92,IPSWICH,W0119,MA92-21,Direct,kimball brook,kimball brook,1995
92,IPSWICH,W0120,MA92-21,Direct,kimball brook,kimball brook,1995
92,IPSWICH,W0121,MA92-03,Direct,miles river,miles river,1995
92,IPSWICH,W0122,MA92-20,Direct,long causeway brook,long causeway brook,1995
92,IPSWICH,W0123,MA92-19,Direct,black brook,black brook,1995
92,IPSWICH,W0124,MA92-18,Direct,gravelly brook,gravelly brook,1995
92,IPSWICH,W0125,MA92-17,Direct,howlett brook,howlett brook,1995
92,IPSWICH,W0126,MA92-17,Direct,howlett brook,howlett brook,1995
92,IPSWICH,W0127,MA92-16,Direct,mile brook,mile brook,1995
92,IPSWICH,W0128,MA92-14,Direct,fish brook,fish brook,1995
