OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,LU_Stats,Shape_Leng,Shape_Area
1,MA52_11,MA52-11,3.26758000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,22179.87620000000,8462999.97599000000
2,MA52_01,MA52-01,3.31978000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,18580.00000000000,8598200.00000000000
3,MA52_06,MA52-06,7.49220000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,29340.00000000000,19404700.00000000000
4,MA52_10,MA52-10,1.64317000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,12440.00000000000,4255800.00000000000
5,MA52_08,MA52-08,12.57560000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,51560.00000000000,32570600.00000000000
6,MA52_05,MA52-05,3.40029000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,18839.86760000000,8806703.20426000000
7,MA52_03,MA52-03,41.91970000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,83439.85040010000,108571400.03200000000
8,MA52_07,MA52-07,4.97979000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,30260.00000000000,12897600.00000000000
9,MA52_02,MA52-02,11.00210000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,38640.00000000000,28495400.00000000000
10,MA52_09,MA52-09,1.20699000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,,15420.00000000000,3126100.00000000000
11,MA62_46,MA62-46,1.59966000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,14840.00000000000,4143100.00000000000
12,MA62_45,MA62-45,6.60381000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,27340.00000000000,17103800.00000000000
13,MA62_44,MA62-44,16.15950000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,57191.81221020000,41852841.63690000000
14,MA62_42,MA62-42,6.16343000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,28080.00000000000,15963200.00000000000
15,MA62_41,MA62-41,7.56019000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,33940.00000000000,19580800.00000000000
16,MA62_38,MA62-38,7.52610000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,32880.00000000000,19492500.00000000000
17,MA62_19,MA62-19,21.81130000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,64559.89480000000,56491004.48840000000
18,MA62_09,MA62-09,9.68479000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,46300.00000000000,25083500.00000000000
19,MA62_01,MA62-01,302.46000000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,285559.79800000000,783367501.35700000000
20,MA62_05,MA62-05,17.99410000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,49659.99620000000,46604491.90430000000
21,MA62_06,MA62-06,21.26610000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,57420.09240000000,55078991.72370000000
22,MA62_07,MA62-07,6.96945000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,24980.00000000000,18050800.00000000000
23,MA62_08,MA62-08,8.24745000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,36900.00000000000,21360800.00000000000
24,MA62_11,MA62-11,51.04810000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,85279.66140000000,132213907.07900000000
25,MA62_12,MA62-12,55.88890000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,87799.80480000000,144751709.42700000000
26,MA62_13,MA62-13,60.17680000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,92279.92800000000,155857307.60700000000
27,MA62_14,MA62-14,2.79673000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,20080.00000000000,7243500.00000000000
28,MA62_22,MA62-22,18.63430000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,55639.89600010000,48262704.16940000000
29,MA62_24,MA62-24,53.87040000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,96640.01560010000,139523603.60900000000
30,MA62_25,MA62-25,66.84820000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,121979.82640000000,173135995.15200000000
31,MA62_26,MA62-26,70.15680000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,131099.81100000000,181705401.40600000000
32,MA62_28,MA62-28,38.12820000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,73359.91840000000,98751495.45300000000
33,MA62_29,MA62-29,43.66650000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,90739.96800000000,113095791.86300000000
34,MA62_30,MA62-30,2.17549000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,15040.00000000000,5634500.00000000000
35,MA62_31,MA62-31,11.95120000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,44760.00000000000,30953400.00000000000
